grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Perkins School for the Blind,2011,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$8,800",Education
Perkins School for the Blind,2011,Dog Rescue Fund Inc.,"Salem, MA","Dog Rescue Fund Inc.   Salem, MA","$6,299",To assist with the organization's exempt purposes.
Perkins School for the Blind,2011,Community Foundation Of Sarasota County Inc.,"Sarasota, FL","Community Foundation Of Sarasota County Inc.   Sarasota, FL","$5,000",General support
Perkins School for the Blind,2011,The Michael And Vincenza Vinciullo Charitable Foundation,"Concord, MA","The Michael And Vincenza Vinciullo Charitable Foundation   Concord, MA","$5,000",General use
Perkins School for the Blind,2011,Walter Henry Freygang Foundation,"Akron, OH","Walter Henry Freygang Foundation   Akron, OH","$4,140",Assistance to blind students
Perkins School for the Blind,2011,Lost And Foundation Inc,"Brookline, MA","Lost And Foundation Inc   Brookline, MA","$3,600",Charitable
Perkins School for the Blind,2011,John C & Eunice B Morrison Charitable Foundation,"Boston, MA","John C & Eunice B Morrison Charitable Foundation   Boston, MA","$2,500",Programs
Perkins School for the Blind,2011,J Owen Todd Charitable Foundation,"Boston, MA","J Owen Todd Charitable Foundation   Boston, MA","$2,500",Charitable contribution
Perkins School for the Blind,2011,Theodore H Cutler Family Trust,"Needham, MA","Theodore H Cutler Family Trust   Needham, MA","$2,000",General charitable purposes
Perkins School for the Blind,2011,The Sooner Foundation,"Stamford, CT","The Sooner Foundation   Stamford, CT","$1,500",General
Perkins School for the Blind,2011,Leo H Bendit Charitable Foundation,"Chestnut Hill, MA","Leo H Bendit Charitable Foundation   Chestnut Hill, MA","$1,500",Education
Perkins School for the Blind,2011,Howard & Robin Reisman Charitable Trust,"Braintree, MA","Howard & Robin Reisman Charitable Trust   Braintree, MA","$1,500",To assist an organization that help people with disabilities
Perkins School for the Blind,2011,Samuel And Nina Frankenheim Foundation,"Boston, MA","Samuel And Nina Frankenheim Foundation   Boston, MA","$1,200",General purpose
Perkins School for the Blind,2011,Rothstein Foundation,"Newburyport, MA","Rothstein Foundation   Newburyport, MA","$1,000",Education
Perkins School for the Blind,2011,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$1,000",Provide support to individuals with vsiual impairmen
Perkins School for the Blind,2011,Bryce Family Foundation,"Skaneateles, NY","Bryce Family Foundation   Skaneateles, NY","$1,000",Charitable
Perkins School for the Blind,2011,Zartarian Foundation,"E Greenwich, RI","Zartarian Foundation   E Greenwich, RI","$1,000",Unrestricted gift
Perkins School for the Blind,2011,Jso Foundation Inc,"New York, NY","Jso Foundation Inc   New York, NY","$1,000",Assist public charities
Perkins School for the Blind,2011,Gravestar Foundation,"Cambridge, MA","Gravestar Foundation   Cambridge, MA",$682,Charitable
Perkins School for the Blind,2011,Grover Gronin Memorial Foundation,"Newtonville, MA","Grover Gronin Memorial Foundation   Newtonville, MA",$500,Scholarship
Perkins School for the Blind,2011,The Synopsys Foundation,"Wilmington, DE","The Synopsys Foundation   Wilmington, DE",$300,Matching donation to promote the organization's charitable activities.
Perkins School for the Blind,2011,Robert R Rosenheim Foundation Inc.,"Bristol, CT","Robert R Rosenheim Foundation Inc.   Bristol, CT",$150,Support work of donee
Perkins School for the Blind,2011,The Lancaster Foundation 7522 Xxxxxx14179,"Boston, MA","The Lancaster Foundation 7522 Xxxxxx14179   Boston, MA",$150,Summer outreach program
Perkins School for the Blind,2011,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$100,Matching gifts grant
Perkins School for the Blind,2011,Meier Family Foundation Ltd,"Chatham, MA","Meier Family Foundation Ltd   Chatham, MA",$100,Charitable
Perkins School for the Blind,2011,Russells Garden Center Charitable Foundation Inc.,"Wayland, MA","Russells Garden Center Charitable Foundation Inc.   Wayland, MA",$100,Donation
Perkins School for the Blind,2011,Ss&W Charitable Foundation,"Chestnut Hill, MA","Ss&W Charitable Foundation   Chestnut Hill, MA",$50,Charitable
Perkins School for the Blind,2011,Robbins Charitable Foundation,"Newton, MA","Robbins Charitable Foundation   Newton, MA",$50,Public charity
Perkins School for the Blind,2011,Anthony Piatelli Family Charitable Foundation,"North Conway, NH","Anthony Piatelli Family Charitable Foundation   North Conway, NH",$50,For support ofthe blind
Perkins School for the Blind,2011,Justin & Genevieve Wyner Trust,"Dedham, MA","Justin & Genevieve Wyner Trust   Dedham, MA",$25,Educational
Perkins School for the Blind,2011,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$25,Matching gifts grant
Perkins School for the Blind,2011,The Rica Charitable Trust,"New York, NY","The Rica Charitable Trust   New York, NY",-$100,To further entity's exempt purpose
Perkins School for the Blind,2010,Van Otterloo Family Foundation,"Marblehead, MA","Van Otterloo Family Foundation   Marblehead, MA","$100,000",Educational
Perkins School for the Blind,2010,National Trust For Historic Preservation In The United States,"Washington, DC","National Trust For Historic Preservation In The United States   Washington, DC","$60,000",Preservation grant
Perkins School for the Blind,2010,Boston Foundation Inc.,"Boston, MA","Boston Foundation Inc.   Boston, MA","$51,351",Operating support
Perkins School for the Blind,2010,Karisma Foundation,"Los Angeles, CA","Karisma Foundation   Los Angeles, CA","$50,000",To support established charity
Perkins School for the Blind,2010,Peabody Foundation Inc.,"Plymouth, MA","Peabody Foundation Inc.   Plymouth, MA","$40,000",To benefit handicapped children &/related research.
Perkins School for the Blind,2010,Cvs Foundation,"Woonsocket, RI","Cvs Foundation   Woonsocket, RI","$25,000",Scholarship/pharmacy/general purpose
Perkins School for the Blind,2010,Third Sector New England Inc.,"Boston, MA","Third Sector New England Inc.   Boston, MA","$12,000",Diversity & inclusion initiative
Perkins School for the Blind,2010,John J And Susan F Doran Family Foundation,"Wellesley, MA","John J And Susan F Doran Family Foundation   Wellesley, MA","$11,000",General contribution
Perkins School for the Blind,2010,The Red Sox Foundation Inc.,"Boston, MA","The Red Sox Foundation Inc.   Boston, MA","$10,000",Sched i supp info
Perkins School for the Blind,2010,Tufts Associated Health Maintenance Organization Inc,"Canton, MA","Tufts Associated Health Maintenance Organization Inc   Canton, MA","$10,000",Annual perkins possibility gala
Perkins School for the Blind,2010,Van Sloun Foundation,"Marion, MA","Van Sloun Foundation   Marion, MA","$7,000",Unrestricted
Perkins School for the Blind,2010,Combined Jewish Philanthropies Of Greater Boston Inc.,"Boston, MA","Combined Jewish Philanthropies Of Greater Boston Inc.   Boston, MA","$5,776",Donor advised funds services to indiv w/disabilities
Perkins School for the Blind,2010,Lost And Foundation Inc,"Brookline, MA","Lost And Foundation Inc   Brookline, MA","$5,500",Charitable
Perkins School for the Blind,2010,King Spruce Company,"Boston, MA","King Spruce Company   Boston, MA","$5,000",Unrestricted gift
Perkins School for the Blind,2010,Community Foundation Of Sarasota County Inc.,"Sarasota, FL","Community Foundation Of Sarasota County Inc.   Sarasota, FL","$5,000",Annual fund
Perkins School for the Blind,2010,King Spruce Company,"Boston, MA","King Spruce Company   Boston, MA","$5,000",Unrestricted gift
Perkins School for the Blind,2010,Walter Henry Freygang Foundation,"Akron, OH","Walter Henry Freygang Foundation   Akron, OH","$3,980",Assistance to blind students
Perkins School for the Blind,2010,J Owen Todd Charitable Foundation,"Boston, MA","J Owen Todd Charitable Foundation   Boston, MA","$2,500",Charitable contribution
Perkins School for the Blind,2010,Press Family Foundation,"Plymouth, MA","Press Family Foundation   Plymouth, MA","$2,000",For general assistance with services for the blind
Perkins School for the Blind,2010,Howard & Robin Reisman Charitable Trust,"Braintree, MA","Howard & Robin Reisman Charitable Trust   Braintree, MA","$1,500",To assist an organization that help people with disabilities
Perkins School for the Blind,2010,The Sooner Foundation,"Stamford, CT","The Sooner Foundation   Stamford, CT","$1,500",General
Perkins School for the Blind,2010,Leo H Bendit Charitable Foundation,"Chestnut Hill, MA","Leo H Bendit Charitable Foundation   Chestnut Hill, MA","$1,500",Education
Perkins School for the Blind,2010,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$1,000",Provide support to individuals with vsiual impairmen
Perkins School for the Blind,2010,Rothstein Foundation,"Newburyport, MA","Rothstein Foundation   Newburyport, MA","$1,000",Education
Perkins School for the Blind,2010,Grover Gronin Memorial Foundation,"Newtonville, MA","Grover Gronin Memorial Foundation   Newtonville, MA",$500,Scholarship
Perkins School for the Blind,2010,Samuel And Nina Frankenheim Foundation,"Boston, MA","Samuel And Nina Frankenheim Foundation   Boston, MA",$500,General purpose
Perkins School for the Blind,2010,Harrison Foundation,"Boston, MA","Harrison Foundation   Boston, MA",$500,Unrestricted contribution
Perkins School for the Blind,2010,The Lancaster Foundation 7522 Xxxxxx14179,"Boston, MA","The Lancaster Foundation 7522 Xxxxxx14179   Boston, MA",$150,Education of the blind
Perkins School for the Blind,2010,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$100,Employee volunteer grant
Perkins School for the Blind,2010,Meier Family Foundation Ltd,"Chatham, MA","Meier Family Foundation Ltd   Chatham, MA",$100,Charitable
Perkins School for the Blind,2010,Robert R Rosenheim Foundation Inc.,"Bristol, CT","Robert R Rosenheim Foundation Inc.   Bristol, CT",$100,Support work of donee
Perkins School for the Blind,2010,Ira S & Anna Galkin Charitable Trust,"Providence, RI","Ira S & Anna Galkin Charitable Trust   Providence, RI",$100,General
Perkins School for the Blind,2010,Russells Garden Center Charitable Foundation Inc.,"Wayland, MA","Russells Garden Center Charitable Foundation Inc.   Wayland, MA",$100,Donation
Perkins School for the Blind,2010,Robbins Charitable Foundation,"Newton, MA","Robbins Charitable Foundation   Newton, MA",$75,Public charity
Perkins School for the Blind,2010,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$25,Employee matching gifts
Southeastern Guide Dogs Inc. Endowment Trust,2021,Greater Milwaukee Foundation Inc.,"Milwaukee, WI","Greater Milwaukee Foundation Inc.   Milwaukee, WI","$15,000",Sustaining support
Southeastern Guide Dogs Inc. Endowment Trust,2021,Mudra Foundation,"Largo, FL","Mudra Foundation   Largo, FL","$5,000",General
Southeastern Guide Dogs Inc. Endowment Trust,2020,Ray Foundation Inc.,"Naples, FL","Ray Foundation Inc.   Naples, FL","$500,000",Operating budget support
Southeastern Guide Dogs Inc. Endowment Trust,2020,David R Clare And Margaret C Clare Foundation,"Parsippany, NJ","David R Clare And Margaret C Clare Foundation   Parsippany, NJ","$360,000",General support
Southeastern Guide Dogs Inc. Endowment Trust,2020,Henry E & Pauline S Becker Charitable Foundation,"Sarasota, FL","Henry E & Pauline S Becker Charitable Foundation   Sarasota, FL","$75,000",General
Southeastern Guide Dogs Inc. Endowment Trust,2020,Patten Family Foundation,"Boca Raton, FL","Patten Family Foundation   Boca Raton, FL","$50,000",General charitable purpose
Southeastern Guide Dogs Inc. Endowment Trust,2020,Francis And Gertrude Levett Foundation,"St. Petersburg, FL","Francis And Gertrude Levett Foundation   St. Petersburg, FL","$47,000",Medical/companion assistance for blind
Southeastern Guide Dogs Inc. Endowment Trust,2020,Milkey Family Foundation Inc.,"St. Pete Beach, FL","Milkey Family Foundation Inc.   St. Pete Beach, FL","$30,000",Charity
Southeastern Guide Dogs Inc. Endowment Trust,2020,Mote Scientific Foundation Inc.,"Sarasota, FL","Mote Scientific Foundation Inc.   Sarasota, FL","$25,000",General
Southeastern Guide Dogs Inc. Endowment Trust,2020,Maxwell Thomas Bras Foundation Inc.,"Lake Mary, FL","Maxwell Thomas Bras Foundation Inc.   Lake Mary, FL","$25,000",Create partnership between visually
Southeastern Guide Dogs Inc. Endowment Trust,2020,Sam M Sciturro Family Foundation Inc.,"Lakewood Rch, FL","Sam M Sciturro Family Foundation Inc.   Lakewood Rch, FL","$25,000",Charitable donation for general use
Southeastern Guide Dogs Inc. Endowment Trust,2020,Helen W Bell Charitable Foundation U A D July 22 1982,"Naples, FL","Helen W Bell Charitable Foundation U A D July 22 1982   Naples, FL","$15,000",General purpose
Southeastern Guide Dogs Inc. Endowment Trust,2020,Kenneth C Townson Fund 401210290,"Chicago, IL","Kenneth C Townson Fund 401210290   Chicago, IL","$15,000",General
Southeastern Guide Dogs Inc. Endowment Trust,2020,The Batchelor Foundation Inc.,"Miami Beach, FL","The Batchelor Foundation Inc.   Miami Beach, FL","$15,000",General operations
Southeastern Guide Dogs Inc. Endowment Trust,2020,Jacarlene Foundation,"Winter Park, FL","Jacarlene Foundation   Winter Park, FL","$11,100",Transform lives by creating and nurturing extraordinary partnership between people and dogs.
Southeastern Guide Dogs Inc. Endowment Trust,2020,Newman Foundation Inc.,"Tampa, FL","Newman Foundation Inc.   Tampa, FL","$10,660",Provide support for physically impaired people requiring assistance of service dogs
Southeastern Guide Dogs Inc. Endowment Trust,2020,Appreciation Of Earth And Animal Foundation Inc.,"Delray Beach, FL","Appreciation Of Earth And Animal Foundation Inc.   Delray Beach, FL","$10,000",General support
Southeastern Guide Dogs Inc. Endowment Trust,2020,Margaret E Dickins Foundation Inc.,"St. Petersburg, FL","Margaret E Dickins Foundation Inc.   St. Petersburg, FL","$10,000",Charitable purpose
Southeastern Guide Dogs Inc. Endowment Trust,2020,Appreciation Of Earth And Animal Foundation Inc.,"Delray Beach, FL","Appreciation Of Earth And Animal Foundation Inc.   Delray Beach, FL","$10,000",General support
